Profile Summary
Generated on: 2026-03-28 16:51:34
Msec since Epoch: 1774731094235
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,5.1781,0.012545,0.225135,2.43411,
clCreateCommandQueue,1,0.024685,0.024685,0.024685,0.024685,
clCreateContext,1,101.414,101.414,101.414,101.414,
clCreateKernel,1,365.725,365.725,365.725,365.725,
clCreateProgramWithBinary,1,734.773,734.773,734.773,734.773,
clEnqueueMigrateMemObjects,25,0.266067,0.005699,0.0106427,0.020276,
clEnqueueTask,25,154.25,0.08783,6.17,151.56,
clFinish,25,44605,1783.5,1784.2,1799.1,
clGetDeviceIDs,2,0.004133,0.001164,0.0020665,0.002969,
clGetDeviceInfo,2,10.5919,0.002354,5.29595,10.5895,
clGetExtensionFunctionAddress,2,0.015982,0.003651,0.007991,0.012331,
clGetExtensionFunctionAddressForPlatform,2,0.005277,0.001433,0.0026385,0.003844,
clGetPlatformInfo,6,0.005868,0.000689,0.000978,0.001629,
clReleaseCommandQueue,1,0.00508,0.00508,0.00508,0.00508,
clReleaseContext,1,53.1001,53.1001,53.1001,53.1001,
clReleaseDevice,5,0.009532,0.000853,0.0019064,0.003802,
clReleaseKernel,1,13.4047,13.4047,13.4047,13.4047,
clReleaseMemObject,73,0.206539,0.000826,0.0028293,0.037211,
clReleaseProgram,1,0.003488,0.003488,0.003488,0.003488,
clRetainDevice,5,0.021161,0.000727,0.0042322,0.012796,
clRetainMemObject,50,0.158199,0.001483,0.00316398,0.01242,
clSetKernelArg,24,0.065903,0.001564,0.00274596,0.020057,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,44585.4,1783.33,1783.41,1783.56,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,30250.4,1783.56,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,71277,1783.49,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,67709.3,1783.46,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,69493.1,1783.46,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,60574.1,1783.46,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,53438.9,1783.46,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,64141.7,1783.46,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,49871.4,1783.46,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,57006.5,1783.45,1:1:1,1:1:1,
94844801581920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,32034.4,1783.43,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,30235,15.3877,179077,11637.7,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
450560,0,0,35601.7,0.12935,20,154.619,
450560,0,0,67709,0.12026,20,166.306,
450560,0,0,60573.8,0.119297,20,167.649,
450560,0,0,71276.7,0.10968,20,182.349,
450560,0,0,57006.2,0.10889,20,183.672,
450560,0,0,32034.1,0.107431,20,186.166,
450560,0,0,64141.4,0.10643,20,187.917,
450560,0,0,74844.4,0.105833,20,188.977,
450560,0,0,53438.6,0.104534,20,191.325,
450560,0,0,33817.9,0.10212,20,195.848,

Guidance Parameters
Parameter,Element,Value,
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_status,0,Generation of AI Engine debug/status
XRT_INI_SETTING,aie_status_interval_us,1000,Interval for reading AI Engine debug/status registers (in us)
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
XRT_INI_SETTING,AIE_profile_settings.interval_us,1000,Interval for reading AI Engine profile counters (in us)
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_metrics,,Metric set for profiling AI Engine processor modules per graph
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_memory_metrics,,Metric set for profiling AI Engine memory modules per graph
XRT_INI_SETTING,AIE_profile_settings.graph_based_memory_tile_metrics,,Metric set for profiling AI Engine memory tiles per graph
XRT_INI_SETTING,AIE_profile_settings.graph_based_interface_tile_metrics,,Metric set for profiling AI Engine interface tiles per graph
XRT_INI_SETTING,AIE_profile_settings.tile_based_aie_metrics,,Metric set for profiling AI Engine processor modules per tile
XRT_INI_SETTING,AIE_profile_settings.tile_based_aie_memory_metrics,,Metric set for profiling AI Engine memory modules per tile
XRT_INI_SETTING,AIE_profile_settings.tile_based_memory_tile_metrics,,Metric set for profiling AI Engine memory tiles per tile
XRT_INI_SETTING,AIE_profile_settings.tile_based_interface_tile_metrics,,Metric set for profiling AI Engine interface tiles per tile
XRT_INI_SETTING,AIE_profile_settings.interface_tile_latency,,Metric set for profiling AI Engine interface tiles latency between different graph ports
XRT_INI_SETTING,AIE_profile_settings.start_type,time,Type of delay to use in AI Engine Profiling
XRT_INI_SETTING,AIE_profile_settings.start_iteration,1,Iteration count when graph type delay is used in AI Engine Profiling
XRT_INI_SETTING,AIE_trace_settings.start_type,time,Type of delay to use in AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.start_time,0,Start delay for AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.start_iteration,1,Iteration count when graph type delay is used in AI Engine Trace
XRT_INI_SETTING,AIE_trace_settings.start_layer,4294967295,layer wise windowed AI Engine Trace
XRT_INI_SETTING,AIE_trace_settings.graph_based_aie_tile_metrics,,Configuration level used for AI Engine trace per graph
XRT_INI_SETTING,AIE_trace_settings.graph_based_memory_tile_metrics,,Configuration level used for memory tile trace per graph
XRT_INI_SETTING,AIE_trace_settings.graph_based_interface_tile_metrics,,Configuration level used for interface tile trace per graph
XRT_INI_SETTING,AIE_trace_settings.tile_based_aie_tile_metrics,,Configuration level used for AI Engine trace per tile
XRT_INI_SETTING,AIE_trace_settings.tile_based_memory_tile_metrics,,Configuration level used for memory tile trace per tile
XRT_INI_SETTING,AIE_trace_settings.tile_based_interface_tile_metrics,,Configuration level used for interface tile trace per tile
XRT_INI_SETTING,AIE_trace_settings.buffer_size,8M,Size of buffer to allocate for AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.periodic_offload,1,Periodic offloading of AI Engine trace from memory to host
XRT_INI_SETTING,AIE_trace_settings.trace_start_broadcast,1,Starting event trace modules using broadcast network
XRT_INI_SETTING,AIE_trace_settings.reuse_buffer,0,Enable use of circular buffer for AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.buffer_offload_interval_us,100,Interval for reading of device AI Engine trace data to host (in us)
XRT_INI_SETTING,AIE_trace_settings.file_dump_interval_s,5,Interval for dumping AI Engine trace files to host (in s)
XRT_INI_SETTING,AIE_trace_settings.poll_timers_interval_us,100,Interval for polling AI Engine timers (in us)
