Profile Summary
Generated on: 2026-03-26 12:25:06
Msec since Epoch: 1774542306887
Profiled application: host
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.179
Build version branch: 2024.2
Build version hash: 3ade2e671e5ab463400813fc2846c57edf82bb10
Build version date: 2024-11-05 13:57:47
Target devices: 
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateBuffer,23,4.35615,0.011881,0.189398,1.68232,
clCreateCommandQueue,1,0.010865,0.010865,0.010865,0.010865,
clCreateContext,1,44.1055,44.1055,44.1055,44.1055,
clCreateKernel,1,469.027,469.027,469.027,469.027,
clCreateProgramWithBinary,1,872.766,872.766,872.766,872.766,
clEnqueueMigrateMemObjects,25,0.206948,0.00763,0.00827792,0.011084,
clEnqueueTask,25,173.887,0.089537,6.95548,171.647,
clFinish,25,33340.1,1333.11,1333.61,1344.38,
clGetDeviceIDs,2,0.003668,0.000874,0.001834,0.002794,
clGetDeviceInfo,2,8.06603,0.001933,4.03301,8.0641,
clGetExtensionFunctionAddress,2,0.018608,0.002696,0.009304,0.015912,
clGetExtensionFunctionAddressForPlatform,2,0.004491,0.001133,0.0022455,0.003358,
clGetPlatformInfo,6,0.004491,0.000506,0.0007485,0.00124,
clReleaseCommandQueue,1,0.007062,0.007062,0.007062,0.007062,
clReleaseContext,1,53.3224,53.3224,53.3224,53.3224,
clReleaseDevice,5,0.009159,0.00082,0.0018318,0.003522,
clReleaseKernel,1,10.5411,10.5411,10.5411,10.5411,
clReleaseMemObject,73,0.152232,0.000871,0.00208537,0.004798,
clReleaseProgram,1,0.003411,0.003411,0.003411,0.003411,
clRetainDevice,5,0.024206,0.000526,0.0048412,0.017098,
clRetainMemObject,50,0.146109,0.001807,0.00292218,0.00648,
clSetKernelArg,25,0.082973,0.001637,0.00331892,0.027844,

Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
GNN_compute_graphs,25,33323.9,1332.91,1332.96,1333.1,

Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,109386,1333.1,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,140052,1332.98,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,136052,1332.98,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,134719,1332.98,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,138719,1332.97,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,130719,1332.97,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,141386,1332.97,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,114719,1332.97,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,120052,1332.96,1:1:1,1:1:1,
94490835329920,GNN_compute_graphs,0,0,xilinx_u50_gen3x16_xdma_base_5-0,110719,1332.96,1:1:1,1:1:1,

Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
323584,0,0,109375,11.1072,104813,9436.44,

Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
856064,0,0,113386,0.106654,87.546,820.841,
856064,0,0,110719,0.09843,87.546,889.424,
856064,0,0,138719,0.096504,87.546,907.175,
856064,0,0,112052,0.09625,87.546,909.569,
856064,0,0,132052,0.09514,87.546,920.181,
856064,0,0,121386,0.095,87.546,921.537,
856064,0,0,129385,0.094723,87.546,924.232,
856064,0,0,134719,0.094586,87.546,925.57,
856064,0,0,140052,0.094257,87.546,928.801,
856064,0,0,128052,0.09413,87.546,930.054,

Guidance Parameters
Parameter,Element,Value,
XRT_INI_SETTING,lop_trace,0,Generation of lower overhead OpenCL trace. Should not be used with other OpenCL options.
XRT_INI_SETTING,debug_mode,batch,Debug mode (emulation only)
XRT_INI_SETTING,aie_trace,0,Generation of AI Engine trace
XRT_INI_SETTING,aie_profile,0,Generation of AI Engine profiling
XRT_INI_SETTING,aie_status,0,Generation of AI Engine debug/status
XRT_INI_SETTING,aie_status_interval_us,1000,Interval for reading AI Engine debug/status registers (in us)
XRT_INI_SETTING,vitis_ai_profile,0,Generation of Vitis AI summary and trace (Vitis AI designs only)
XRT_INI_SETTING,AIE_profile_settings.interval_us,1000,Interval for reading AI Engine profile counters (in us)
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_metrics,,Metric set for profiling AI Engine processor modules per graph
XRT_INI_SETTING,AIE_profile_settings.graph_based_aie_memory_metrics,,Metric set for profiling AI Engine memory modules per graph
XRT_INI_SETTING,AIE_profile_settings.graph_based_memory_tile_metrics,,Metric set for profiling AI Engine memory tiles per graph
XRT_INI_SETTING,AIE_profile_settings.graph_based_interface_tile_metrics,,Metric set for profiling AI Engine interface tiles per graph
XRT_INI_SETTING,AIE_profile_settings.tile_based_aie_metrics,,Metric set for profiling AI Engine processor modules per tile
XRT_INI_SETTING,AIE_profile_settings.tile_based_aie_memory_metrics,,Metric set for profiling AI Engine memory modules per tile
XRT_INI_SETTING,AIE_profile_settings.tile_based_memory_tile_metrics,,Metric set for profiling AI Engine memory tiles per tile
XRT_INI_SETTING,AIE_profile_settings.tile_based_interface_tile_metrics,,Metric set for profiling AI Engine interface tiles per tile
XRT_INI_SETTING,AIE_profile_settings.interface_tile_latency,,Metric set for profiling AI Engine interface tiles latency between different graph ports
XRT_INI_SETTING,AIE_profile_settings.start_type,time,Type of delay to use in AI Engine Profiling
XRT_INI_SETTING,AIE_profile_settings.start_iteration,1,Iteration count when graph type delay is used in AI Engine Profiling
XRT_INI_SETTING,AIE_trace_settings.start_type,time,Type of delay to use in AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.start_time,0,Start delay for AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.start_iteration,1,Iteration count when graph type delay is used in AI Engine Trace
XRT_INI_SETTING,AIE_trace_settings.start_layer,4294967295,layer wise windowed AI Engine Trace
XRT_INI_SETTING,AIE_trace_settings.graph_based_aie_tile_metrics,,Configuration level used for AI Engine trace per graph
XRT_INI_SETTING,AIE_trace_settings.graph_based_memory_tile_metrics,,Configuration level used for memory tile trace per graph
XRT_INI_SETTING,AIE_trace_settings.graph_based_interface_tile_metrics,,Configuration level used for interface tile trace per graph
XRT_INI_SETTING,AIE_trace_settings.tile_based_aie_tile_metrics,,Configuration level used for AI Engine trace per tile
XRT_INI_SETTING,AIE_trace_settings.tile_based_memory_tile_metrics,,Configuration level used for memory tile trace per tile
XRT_INI_SETTING,AIE_trace_settings.tile_based_interface_tile_metrics,,Configuration level used for interface tile trace per tile
XRT_INI_SETTING,AIE_trace_settings.buffer_size,8M,Size of buffer to allocate for AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.periodic_offload,1,Periodic offloading of AI Engine trace from memory to host
XRT_INI_SETTING,AIE_trace_settings.trace_start_broadcast,1,Starting event trace modules using broadcast network
XRT_INI_SETTING,AIE_trace_settings.reuse_buffer,0,Enable use of circular buffer for AI Engine trace
XRT_INI_SETTING,AIE_trace_settings.buffer_offload_interval_us,100,Interval for reading of device AI Engine trace data to host (in us)
XRT_INI_SETTING,AIE_trace_settings.file_dump_interval_s,5,Interval for dumping AI Engine trace files to host (in s)
XRT_INI_SETTING,AIE_trace_settings.poll_timers_interval_us,100,Interval for polling AI Engine timers (in us)
